"FileName","DateType","Date","Destination"
"C:\Users\admin\OneDrive\Documents\GitHub\media-date-sorter\test-sort\test-1-datetaken.jpg","Date Taken","18/11/2020 12:39:00 PM","C:\Users\admin\OneDrive\Documents\GitHub\media-date-sorter\test-sort\2020\11\test-1-datetaken.jpg"
"C:\Users\admin\OneDrive\Documents\GitHub\media-date-sorter\test-sort\test-2-mediacreated.MP4","Media Created","27/09/2016 7:21:00 PM","C:\Users\admin\OneDrive\Documents\GitHub\media-date-sorter\test-sort\2016\09\test-2-mediacreated.MP4"
"C:\Users\admin\OneDrive\Documents\GitHub\media-date-sorter\test-sort\test-3-datemodified.JPG","Date Modified","4/11/2014 10:53:38 PM","C:\Users\admin\OneDrive\Documents\GitHub\media-date-sorter\test-sort\2014\11\test-3-datemodified.JPG"
"C:\Users\admin\OneDrive\Documents\GitHub\media-date-sorter\test-sort\test-4-nodate.jpg","Date Modified","1/01/1980 12:00:00 AM","C:\Users\admin\OneDrive\Documents\GitHub\media-date-sorter\test-sort\1980\01\test-4-nodate.jpg"
